LSTM multi-ticker forecast summary
Window=60, Horizon=5

Ticker: AAPL
  2025-10-20: 244.17
  2025-10-21: 241.31
  2025-10-22: 236.00
  2025-10-23: 240.90
  2025-10-24: 235.97

Ticker: AMD
  2025-10-20: 230.20
  2025-10-21: 224.59
  2025-10-22: 213.94
  2025-10-23: 228.14
  2025-10-24: 211.66

Ticker: INTC
  2025-10-20: 36.89
  2025-10-21: 36.88
  2025-10-22: 36.77
  2025-10-23: 36.61
  2025-10-24: 36.88

Ticker: MSFT
  2025-10-20: 507.34
  2025-10-21: 495.00
  2025-10-22: 485.73
  2025-10-23: 508.03
  2025-10-24: 481.94

Ticker: NDAQ
  2025-10-20: 85.74
  2025-10-21: 84.65
  2025-10-22: 84.82
  2025-10-23: 83.08
  2025-10-24: 82.69

Ticker: NVDA
  2025-10-20: 167.68
  2025-10-21: 169.54
  2025-10-22: 166.88
  2025-10-23: 178.61
  2025-10-24: 167.61

Ticker: QCOM
  2025-10-20: 159.50
  2025-10-21: 157.82
  2025-10-22: 156.93
  2025-10-23: 157.40
  2025-10-24: 157.44

